Title,Rating,Video Link,Muscle Group,Equipment
Hang Snatch,8.7,https://www.bodybuilding.com/exercises/detail/view/name/hang-snatch,Hamstrings,Barbell
Hanging Leg Raise,8.9,https://www.bodybuilding.com/exercises/detail/view/name/hanging-leg-raise,Abdominals,Body Only
Hanging Oblique Knee Raise,9,https://www.bodybuilding.com/exercises/detail/view/name/hanging-oblique-knee-raise,Abdominals,Body Only
Hanging Pike,9,https://www.bodybuilding.com/exercises/detail/view/name/hanging-pike,Abdominals,Body Only
Hip Circles (prone),9.2,https://www.bodybuilding.com/exercises/detail/view/name/hip-circles-prone,Abductors,Body Only
Hyperextensions (Back Extensions),9.1,https://www.bodybuilding.com/exercises/detail/view/name/hyperextensions-back-extensions,Lower Back,Other
Hyperextensions With No Hyperextension Bench,8.8,https://www.bodybuilding.com/exercises/detail/view/name/hyperextensions-with-no-hyperextension-bench,Lower Back,Body Only
Iliotibial Tract-SMR,8.2,https://www.bodybuilding.com/exercises/detail/view/name/iliotibial-tract-smr,Abductors,Foam Roll
Incline Barbell Triceps Extension,8.9,https://www.bodybuilding.com/exercises/detail/view/name/incline-barbell-triceps-extension,Triceps,Barbell
Incline Cable Chest Press,8.7,https://www.bodybuilding.com/exercises/detail/view/name/incline-cable-chest-press,Chest,Cable
Incline Cable Flye,9,https://www.bodybuilding.com/exercises/detail/view/name/incline-cable-flye,Chest,Cable
Incline Dumbbell Bench With Palms Facing In,8.4,https://www.bodybuilding.com/exercises/detail/view/name/incline-dumbbell-bench-with-palms-facing-in,Chest,Dumbbell
Incline Dumbbell Curl,8.6,https://www.bodybuilding.com/exercises/detail/view/name/incline-dumbbell-curl,Biceps,Dumbbell
Incline Dumbbell Flyes,8.8,https://www.bodybuilding.com/exercises/detail/view/name/incline-dumbbell-flyes,Chest,Dumbbell
Incline Dumbbell Flyes - With A Twist,8.3,https://www.bodybuilding.com/exercises/detail/view/name/incline-dumbbell-flyes-with-a-twist,Chest,Dumbbell
Incline Dumbbell Press,9.1,https://www.bodybuilding.com/exercises/detail/view/name/incline-dumbbell-press,Chest,Dumbbell
